,Name,target,ville
0,Collège privé de Marcq,100.0,Marcq-en-Barœul
1,Collège privé Saint-Charles,100.0,Saint-Pierre
2,Collège Saint-Thomas d'Aquin,100.0,Oullins
3,Collège Saint-Charles,100.0,Athis-Mons
4,Collège Passy Saint-Nicolas Buzenval,100.0,Rueil-Malmaison
5,Collège privé Stanislas,100.0,Paris
6,Collège privé Institution La Providence,100.0,Strasbourg
7,Collège privé Fénelon Sainte-Marie,100.0,Paris
8,Collège privé Saint-Jean de Passy,100.0,Paris
9,Collège Saint-Joseph du Loquidy,100.0,Nantes
10,Collège Saint-Joseph de Tivoli,100.0,Bordeaux
11,Collège Stanislas,100.0,Cannes
12,Collège Sainte-Thérèse,100.0,Ozoir-la-Ferrière
13,Collège privé de la Salle,100.0,Grenoble
14,Collège Notre-Dame des Anges,100.0,Saint-Amand-les-Eaux
15,Collège privé Sainte-Clotilde,100.0,Paris
16,Collège Sacré-Coeur,100.0,La Ville-du-Bois
17,Collège les Louez Dieu,100.0,Anzin-Saint-Aubin
18,Collège privé Sainte-Marie,100.0,Belfort
19,Collège Notre-Dame,100.0,Saint-Germain-en-Laye
20,Collège Notre Dame de la Providence,100.0,Enghien-les-Bains
21,Collège Saint-François d'Assise,100.0,Montigny-le-Bretonneux
22,Collège l'Assomption,100.0,Montpellier
23,Collège privé Saint-Jean-Baptiste de La Salle,100.0,Nîmes
24,Collège Saint-Jean-Baptiste de La Salle,100.0,Valenciennes
25,Collège Saint-Paul,100.0,Lille
26,Collège Le Caousou,100.0,Toulouse
27,Collège privé la Salle,100.0,
28,Collège Pierre de Coubertin,100.0,Chevreuse
29,Collège Saint-Gabriel,100.0,Pacé
30,Collège Sainte-Geneviève,100.0,Asnières-sur-Seine
31,Collège l'Espérance,100.0,Aulnay-sous-Bois
32,Collège Saint-Joseph,100.0,Ollioules
33,Collège Thérèse d'Avila,100.0,Lille
34,Collège Saint-Dominique,100.0,Neuilly-sur-Seine
35,Collège Jeanne d'Arc,100.0,Melun
36,Collège Saint-Martin,100.0,Angers
37,Collège Notre-Dame de Sainte-Croix,100.0,Neuilly-sur-Seine
38,Collège Saint-François-de-Sales,100.0,Dijon
39,Collège Sainte-Anne,100.0,Carquefou
40,Collège Saint-Dominique,100.0,Mortefontaine
41,Collège des Chartreux,100.0,Lyon
42,Collège international,100.0,Lyon
43,Collège privé Episcopal,100.0,Zillisheim
44,Collège Cluny,100.0,Marseille
45,Collège Sévigné,100.0,Marseille
46,Collège International,100.0,Valbonne
47,Collège La Salle Saint-Bernard,100.0,Bayonne
48,Collège Saint-Pierre Saint-Jean,100.0,Neuilly-sur-Seine
49,Collège Sacré-Coeur,100.0,Lamballe
50,Collège Immaculée Conception,100.0,Villeurbanne
51,Collège Notre-Dame des Missions,100.0,Charenton-le-Pont
52,Collège Louise Michel,100.0,Chagny
53,Collège Urbain Mongazon,100.0,Angers
54,Collège privé Rocroy Saint-Vincent de Paul,100.0,Paris
55,Collège Madeleine Daniélou,100.0,Rueil-Malmaison
56,Collège Immaculée Conception,100.0,Seclin
57,Collège privé Saint-Louis de Gonzague,100.0,Paris
58,Collège privé Saint-Joseph,100.0,Voiron
59,Collège Jean-Baptiste Say,100.0,Paris
60,Collège Théophraste Renaudot,100.0,Saint-Benoît
61,Collège Lamoricière,100.0,Saint-Philbert-de-Grand-Lieu
62,Collège La Pierre Aiguille,100.0,Le Touvet
63,Collège aux Lazaristes,100.0,Lyon
64,Collège la Xavière,100.0,Chaponnay
65,Collège privé Saint Thomas,100.0,Tourcoing
66,Institut Saint-Lo,100.0,Agneaux
67,Collège privé Blomet,100.0,Paris
68,Collège privé Saint-François,100.0,La Côte-Saint-André
69,Collège Saint-Jean,100.0,Douai
70,Collège Lacordaire,100.0,Marseille
71,Collège Saint-Louis Sainte-Clotilde,100.0,Le Raincy
72,Collège privé Saint André,100.0,Colmar
73,Collège Dupanloup,100.0,Boulogne-Billancourt
74,Collège privé Saint-Michel,100.0,Annecy
75,Collège Saint-Stanislas,100.0,Saint-Renan
76,Collège Notre-Dame de la Compassion,100.0,Pontoise
77,Collège privé de la Tour,100.0,Paris
78,Collège Sainte Anne,100.0,Brest
79,Collège Saint-Louis Notre-Dame du Bel Air,100.0,Montfort-l'Amaury
80,Collège Henri Dunant,100.0,Royan
81,Collège Saint-Michel,100.0,Solesmes
82,Collège Anna de Noailles,100.0,Larche
83,Collège international,100.0,Saint-Germain-en-Laye
84,Collège Endarra,100.0,Anglet
85,Collège Lakanal,100.0,Sceaux
86,Collège privé Saint-Bruno,100.0,La Tour-du-Pin
87,Collège du Centre scolaire La Favorite-Sainte-Thérèse,100.0,Lyon
88,Collège privé Don Bosco,100.0,Landser
89,Collège Notre-Dame de la Tramontane,100.0,Antibes
90,Collège Saint-Joseph,100.0,Le Mans
91,Collège Charlemagne,100.0,Lesquin
92,Collège privé Gerson,100.0,Paris
93,Collège Saint-Joseph,100.0,Chemillé-en-Anjou
94,Collège Léon Gambetta,100.0,Riedisheim
95,Collège Jules Verne,100.0,Rueil-Malmaison
96,Ensemble scolaire Charles de Foucauld - site Jeanne d'Arc (collège),100.0,Limoges
97,Collège privé la Providence,100.0,Fécamp
98,Collège Sainte-Ursule,100.0,Pau
99,Collège Notre-Dame,100.0,Rueil-Malmaison
100,Collège Sainte-Marie,100.0,Linselles
101,Collège le Sacré-Coeur,100.0,Écully
102,Collège privé La Bruyère Sainte-Isabelle,100.0,Paris
103,Collège privé Bossuet-Notre-Dame,100.0,Paris
104,Collège Rogelet,100.0,Reims
105,Collège Saint-Druon,100.0,Carvin
106,"Pensionnat Saint Joseph de Cluny, Collège",100.0,Fort-de-France
107,Collège privé Charles Péguy,100.0,Paris
108,Collège Bon accueil,100.0,Toulon
109,Collège Saint-Jean,100.0,La Madeleine
110,Collège privé Saint-Michel,100.0,Bourgoin-Jallieu
111,Collège Saint-Yves,100.0,Mordelles
112,Collège Saint-Jacques,100.0,Hazebrouck
113,Collège de Capelle en Pévèle,100.0,Cappelle-en-Pévèle
114,Collège la Malassise,100.0,Longuenesse
115,Collège Stanislas,100.0,Nice
116,Collège privé La Rochefoucauld,100.0,Paris
117,Collège Lucie Aubrac,100.0,Isneauville
118,Collège Saint-Riquier,100.0,Amiens
119,Collège Joseph Niel,100.0,Muret
120,Collège Saint-Dominique,100.0,Rouen
121,Collège Le Ferradou,100.0,Blagnac
122,Collège Saint-Charles,100.0,Arles
123,Collège Notre-Dame du Bon accueil,100.0,Monteux
124,Collège Saint-Pierre,100.0,Calais
125,Collège Saint-Léon IX Devallée,100.0,Nancy
126,Collège Robert Schuman,100.0,Saint-Amarin
127,Collège Peyramale Saint-Joseph,100.0,Lourdes
128,Collège privé Sacré-Coeur,100.0,Thonon-les-Bains
129,Collège Sacré-Coeur,100.0,Évron
130,Collège Saint-Bernard,100.0,Troyes
131,Collège privé Antoine de Saint-Exupéry,100.0,Niort
132,Collège Saint-Barthélémy,100.0,Nice
133,Collège Chevreul Blancarde,100.0,Marseille
134,Collège Thérèse Pierre,100.0,Fougères
135,Collège privé Sainte-Ursule Louise de Bettignies,100.0,Paris
136,Collège privé Saint-Joseph,100.0,Bourgoin-Jallieu
137,Collège Guy Gasnier - Sainte-Bathilde,100.0,Chelles
138,Collège Saint-Joseph de la Madeleine,100.0,Marseille
139,Collège privé la Providence,100.0,Poitiers
140,Collège Saint-Joseph,100.0,Argenteuil
141,Collège privé Sainte-Geneviève,100.0,Saint-André
142,Collège Assomption - Sainte-Clotilde,100.0,Bordeaux
143,Collège Sainte-Marie,100.0,Neuilly-sur-Seine
144,Collège L'Immaculée,100.0,Mesnils-sur-Iton
145,Collège Saint-Joseph,100.0,Nay
146,Collège le Sacré-Coeur,100.0,Sainte-Pazanne
147,Collège Massillon,100.0,Clermont-Ferrand
148,Collège privé Saint-Charles,100.0,Orléans
149,Collège Jean Mermoz,100.0,Biscarrosse
150,Collège Fénelon,100.0,Toulon
151,Collège Immaculée Conception,100.0,Saint-Dizier
152,Collège privé Notre-Dame,100.0,Bressuire
153,Collège Saint-Dominique,100.0,Pau
154,Collège Stanislas,100.0,Saint-Raphaël
155,Collège Pradeau-La Sède,100.0,Tarbes
156,Collège Hector Berlioz,100.0,Vincennes
157,Collège privé Sainte Philomène,100.0,Haguenau
158,Collège Conrad Alexandre Gérard,100.0,Masevaux-Niederbruck
159,Collège du Mont d'Hor,100.0,Saint-Thierry
160,Collège Saint-Winoc,100.0,Bergues
161,Collège Saint-Hélier,100.0,Rennes
162,Collège Largenté,100.0,Bayonne
163,Collège Gustave Flaubert,100.0,Pont-l'Évêque
164,Collège Jeanne d'Arc,100.0,Perpignan
165,Collège privé Soeur Rosalie,100.0,Paris
166,Collège Saint-Jacques de Compostelle,100.0,Dax
167,Collège Saint-Exupéry,100.0,Thierville-sur-Meuse
168,Collège André Malraux,100.0,Cagnes-sur-Mer
169,Collège Paul Wernert,100.0,Achenheim
170,Collège Sainte-Geneviève,100.0,Courbevoie
171,Collège Saint-Thomas d'Aquin,100.0,Mornant
172,Collège Jean Delacour,100.0,Clères
173,Collège Cap de Gascogne,100.0,Saint-Sever
174,Collège Claude Debussy,100.0,Paris
175,Collège Saint-Augustin,100.0,Saint-Germain-en-Laye
176,Collège privé Léon XIII,100.0,Châteauroux
177,Collège Saint-Charles,100.0,Guipavas
