,Appartenance EP,Name,Coordonnée X,Coordonnée Y,Etablissement sensible,CATAEU2010,Situation relative à une zone rurale ou autre,Commune code,City_name,Commune et arrondissement code,Commune et arrondissement nom,Département code,Département nom,Académie code,Académie nom,Région code,Région nom,Région 2016 code,Région 2016 nom,Nb élèves,Nb 6èmes,Nb 5èmes,Nb 4èmes générales,Nb 3èmes générales,Nb 6ème SEGPA,Nb 5ème SEGPA,Nb 4ème SEGPA,Nb 3ème SEGPA,Nb SEGPA,Nb 3èmes générales retardataires,Nb divisions,Nb 6èmes provenant d'une école EP,Nb 5èmes 4èmes et 3èmes générales Latin ou Grec,Nb 5èmes 4èmes et 3èmes générales,Nb élèves pratiquant langue rare,Nb 6èmes bilangues,Nb 6èmes 5èmes 4èmes et 3èmes générales sections européennes et internationales,Nb 6èmes 5èmes 4èmes et 3èmes générales,Nb 3émes générales et insertion rentrée précédente passés en 2nde GT,Nb 3émes générales et insertion rentrée précédente passés en cycle professionnel,Longitude,Latitude,Position,target
565,HEP,amiral de rigny,912665.1,6845812.4,NON,111.0,urbain,54528,toul,54528,TOUL,54,MEURTHE-ET-MOSELLE,12.0,NANCY-METZ,41,LORRAINE,44,GRAND-EST,482.0,108.0,119.0,122.0,124.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,0.0,16.0,0.0,473.0,106.0,20.0,140.0,5.8890957,48.6774515,5.889095663947054,48.677451593445255,"48.6774515934,5.88909566395",95.6
313,HEP,jules verne,355005.1,6689619.8,NON,111.0,urbain,44109,nantes,44109,NANTES,44,LOIRE-ATLANTIQUE,17.0,NANTES,52,PAYS DE LA LOIRE,52,PAYS-DE-LA-LOIRE,404.0,77.0,95.0,113.0,119.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,84.0,0.0,0.0,404.0,86.0,10.0,101.0,-1.5610761,47.2171741,-1.561076058164574,47.2171741781296,"47.2171741781,-1.56107605816",87.3
601,HEP,albert camus,637334.2,7068125.0,NON,112.0,intermédiaire,62534,lumbres,62534,LUMBRES,62,PAS-DE-CALAIS,9.0,LILLE,31,NORD-PAS-DE-CALAIS,32,HAUTS-DE-FRANCE,797.0,196.0,207.0,192.0,144.0,6.0,16.0,10.0,15.0,47.0,20.0,32.0,0.0,0.0,0.0,739.0,128.0,54.0,191.0,2.1144429,50.7067201,2.1144429165676217,50.70672017468774,"50.7067201747,2.11444291657",91.7
233,HEP,jacques brel,861666.4,6473135.3,NON,221.0,intermédiaire,38034,beaurepaire,38034,BEAUREPAIRE,38,ISERE,8.0,GRENOBLE,82,RHONE-ALPES,84,AUVERGNE-ET-RHONE-ALPES,606.0,170.0,139.0,155.0,142.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,122.0,13.0,0.0,606.0,76.0,39.0,147.0,5.0643295,45.3385816,5.064329547899554,45.338581612659375,"45.3385816127,5.0643295479",77.4
3912,HEP,jacques prevert,612683.8,7013615.0,NON,120.0,intermédiaire,80598,nouvion,80598,NOUVION,80,SOMME,20.0,AMIENS,22,PICARDIE,32,HAUTS-DE-FRANCE,313.0,84.0,86.0,72.0,71.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,313.0,52.0,17.0,90.0,1.7780653000000002,50.2145015,1.7780652548941926,50.21450153526721,"50.2145015353,1.77806525489",85.6
931,HEP,francoise sagan,642763.4,6900449.3,NON,112.0,intermédiaire,60088,bornel,60088,BORNEL,60,OISE,20.0,AMIENS,22,PICARDIE,32,HAUTS-DE-FRANCE,461.0,103.0,120.0,108.0,117.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,0.0,8.0,0.0,448.0,84.0,36.0,137.0,2.2147235,49.2012037,2.214723481899691,49.20120374816984,"49.2012037482,2.2147234819",97.6
3450,REP,europa,836688.8,6385767.0,NON,111.0,urbain,26198,montelimar,26198,MONTELIMAR,26,DROME,8.0,GRENOBLE,82,RHONE-ALPES,84,AUVERGNE-ET-RHONE-ALPES,602.0,159.0,157.0,136.0,150.0,0.0,0.0,0.0,0.0,0.0,35.0,28.0,134.0,21.0,18.0,602.0,99.0,58.0,169.0,4.7211869,44.5575714,4.721186945530264,44.55757149788673,"44.5575714979,4.72118694553",87.3
2344,HEP,jean monnet,639918.7,6279013.5,NON,111.0,urbain,81065,castres,81065,CASTRES,81,TARN,16.0,TOULOUSE,73,MIDI-PYRENEES,76,OCCITANIE,618.0,132.0,125.0,123.0,136.0,18.0,24.0,18.0,30.0,90.0,16.0,28.0,42.0,22.0,0.0,516.0,85.0,35.0,133.0,2.2560254,43.6076269,2.25602540702277,43.6076269151538,"43.6076269152,2.25602540702",85.9
111,HEP,jean rostand,343008.0,6293604.2,NON,211.0,intermédiaire,40065,capbreton,40065,CAPBRETON,40,LANDES,4.0,BORDEAUX,72,AQUITAINE,75,NOUVELLE-AQUITAINE,607.0,137.0,134.0,145.0,135.0,7.0,16.0,17.0,16.0,56.0,10.0,25.0,0.0,0.0,0.0,551.0,122.0,23.0,161.0,-1.4261874,43.6514071,-1.4261873904881688,43.65140714672046,"43.6514071467,-1.42618739049",88.9
2517,REPPLUS,ampere,831208.8,6287399.9,NON,111.0,urbain,13004,arles,13004,ARLES,13,BOUCHES-DU-RHONE,2.0,AIX-MARSEILLE,93,PROVENCE-ALPES-COTE D'AZUR,93,PROVENCE-ALPES-COTE-D'AZUR,606.0,166.0,160.0,148.0,132.0,0.0,0.0,0.0,0.0,0.0,39.0,27.0,116.0,0.0,0.0,606.0,72.0,47.0,126.0,4.6266897,43.6734724,4.6266896674353095,43.67347246794885,"43.6734724679,4.62668966744",83.2
